filename,class,ra,dec,ID,,catname, period,p2,p3,p4,
0.879:ID:FHK_101.png,3,312.8605833,44.608,FHK_101,,205126.53+443628.7,,,,,
0.811:ID:GDR1_2162947798009095808.png,3,312.8624502,44.22094147,GDR1_2162947798009095808,,205126.98+441315.3,9.673,,,,
0.624:ID:GDR1_2163139151692568576.png,3,312.8685211,44.4336208,GDR1_2163139151692568576,,205128.44+442601.0,,,,,
0.918:ID:GDR1_2162948141606527616.png,3,312.8690904,44.26254283,GDR1_2162948141606527616,,205128.58+441545.1,,,,,
0.853:ID:GDR1_2163148596322501760.png,3,312.873683,44.53878709,GDR1_2163148596322501760,,205129.68+443219.6,,,,,
0.925:ID:GDR1_2162946080022052992.png,3,312.8787452,44.11650986,GDR1_2162946080022052992,,205130.89+440659.4,,,,,
0.813:ID:GDR1_2162947729289614848.png,3,312.8818772,44.21699752,GDR1_2162947729289614848,,205131.65+441301.1,,,,,
0.943:ID:GDR1_2163138288400926464.png,3,312.8865954,44.39665464,GDR1_2163138288400926464,,205132.78+442347.9,,,,,
0.886:ID:GDR1_2163149317877028224.png,3,312.8879983,44.61655321,GDR1_2163149317877028224,,205133.11+443659.5,,,,,
0.709:ID:FHK_115.png,3,312.8890833,44.44358333,FHK_115,,205133.37+442636.9,6.288,,,,
0.693:ID:GDR1_2163149214797802752.png,3,312.889168,44.58175004,GDR1_2163149214797802752,,205133.40+443454.3,,,,,
0.778:ID:GDR1_2162946526698717056.png,3,312.89043,44.17068994,GDR1_2162946526698717056,,205133.70+441014.4,4.781,,,,"three plausible peaks at 4.781, 9.569, 8.1"
0.113:ID:FHK_118.png,1,312.8974583,44.51088889,FHK_118,,205135.38+443039.2,4.419,,,,
0.917:ID:FHK_123.png,3,312.9110833,44.06138889,FHK_123,,205138.65+440341.0,,,,,
0.941:ID:GDR1_2163138361418522624.png,3,312.9135525,44.40778697,GDR1_2163138361418522624,,205139.25+442428.0,,,,,~20 day timescale
0.706:ID:GDR1_2163145984982389632.png,3,312.9165076,44.55394587,GDR1_2163145984982389632,,205139.96+443314.2,,,,,
0.439:ID:FHK_127.png,1,312.9219167,43.79861111,FHK_127,,205141.25+434755.0,1.357,,,,
0.828:ID:GDR1_2162949378557095680.png,3,312.9225695,44.25195556,GDR1_2162949378557095680,,205141.41+441507.0,6.717,,,,
0.912:ID:GDR1_2162949378557115136.png,3,312.9246368,44.26892643,GDR1_2162949378557115136,,205141.91+441608.1,,,,,
0.584:ID:FHK_130.png,2,312.9254167,44.64908333,FHK_130,,205142.09+443856.6,8.211,,,,
0.154:ID:FHK_133.png,1,312.9370833,44.43861111,FHK_133,,205144.89+442618.9,3.774,,,,
0.608:ID:FHK_134.png,2,312.9381667,43.81730556,FHK_134,,205145.15+434902.3,6.254,,,,
0.662:ID:GDR1_2163144473153865856.png,2,312.9416466,44.47646402,GDR1_2163144473153865856,,205145.99+442835.2,10.662,,,,
0.245:ID:FHK_137.png,1,312.9439583,44.37258333,FHK_137,,205146.55+442221.2,2.175,,,,
0.698:ID:FHK_138.png,3,312.9475833,44.53561111,FHK_138,,205147.42+443208.1,6.463,,,,"not thrilled with phased lightcurve, but plausible"
0.117:ID:FHK_543.png,1,312.949125,43.71083333,FHK_543,,205147.78+434238.9,1.14,,,,
0.917:ID:GDR1_2162942918926094208.png,3,312.9523092,44.0887828,GDR1_2162942918926094208,,205148.55+440519.6,,,,,
0.811:ID:GDR1_2163138116611233408.png,2,312.953189,44.3947049,GDR1_2163138116611233408,,205148.76+442340.9,8.889,,,,
0.804:ID:GDR1_2162946767216898432.png,3,312.9535924,44.1840804,GDR1_2162946767216898432,,205148.86+441102.6,4.16,,,,not thrilled with phased lightcurve but probably real
0.890:ID:FHK_142.png,3,312.95675,44.63127778,FHK_142,,205149.61+443752.5,,,,,
0.856:ID:2MASS_J20515226+4418213.png,3,312.9677502,44.30591573,2MASS_J20515226+4418213,,205152.26+441821.2,,,,,
0.861:ID:GDR1_2162948691363126144.png,3,312.9704197,44.26594796,GDR1_2162948691363126144,,205152.90+441557.4,,,,,
0.875:ID:FHK_146.png,3,312.9820833,44.56463889,FHK_146,,205155.70+443352.7,,,,,~50 day timescale
0.589:ID:GDR1_2162941716335179008.png,2,312.988425,44.03779365,GDR1_2162941716335179008,,205157.22+440216.0,7.489,,,,
0.119:ID:FHK_150.png,1,312.9936667,44.62338889,FHK_150,,205158.47+443724.1,1.906,2.092,,,
0.923:ID:GDR2_2162948455142499968.png,3,312.9943655,44.2490879,GDR2_2162948455142499968,,205158.64+441456.7,,,,,
0.813:ID:GDR1_2163144851111005056.png,3,312.9945809,44.50758286,GDR1_2163144851111005056,,205158.69+443027.2,,,,,
0.796:ID:FHK_153.png,3,312.996625,44.42880556,FHK_153,,205159.18+442543.7,4.153,,,,
0.944:ID:FHK_155.png,3,312.9975417,44.27286111,FHK_155,,205159.40+441622.2,,,,,
0.825:ID:GDR1_2162949309837722880.png,3,313.000721,44.33305373,GDR1_2162949309837722880,,205200.17+441958.9,4.955,,,,
0.884:ID:GDR1_2163144644952565120.png,3,313.0041214,44.47817167,GDR1_2163144644952565120,,205200.98+442841.4,,,,,
