ID,RA_jan,DEC_jan,PER_jan,Q_jan,M_jan,primary_class_jan,secondary_class_jan,per_changed
GDR1_2163149317877028224,312.8879983,44.61655321,1.010607811,0.875657674,0.938874229,apd,,
GDR1_2162988101982678912,313.6231402,44.75750336,0.93025454,0.876527585,0.171730199,qps,,
GDR1_2067026815919131392,312.1477361,43.8870439,0.987722364,0.877011926,-0.283691445,b,l,
GDR1_2163140246906862080,312.7287238,44.38283521,18.95007764,0.877060573,0.522507161,s,,
GDR1_2162967795377160064,313.4935034,44.54305796,4.93755646,0.877667201,-0.29457629,b,,
FHK_300,313.394875,44.48825,4.675960875,0.87883214,0.111900771,s,,
FHK_101,312.8605833,44.608,8.997,0.879331267,-0.047175781,s,,TRUE
FHK_234,313.2109583,43.71541667,1.301703335,0.879581008,0.6697707,apd,,
FHK_438,314.531875,43.88133333,1.644813423,0.88001727,-0.084263214,s,,
FHK_43,312.7317083,44.29730556,4.63856342,0.88315852,0.083570012,l,,
GDR1_2163144644952565120,313.0041214,44.47817167,19.8779141,0.884906308,-0.178221133,s,,
GDR1_2067067807089176192,312.2990627,44.20914007,0.911883994,0.885512334,0.411626852,apd,,
GDR1_2162976419671618816,313.6902575,44.72828318,0.931168245,0.886133866,0.739447324,apd,,
GDR1_2162951027824541312,313.1978532,44.26164443,7.941,0.886210794,-0.204336206,s,,TRUE
GDR1_2163135367823138944,312.8169403,44.24999606,,0.887225101,0.565182257,apd,,
GDR1_2162961267026674432,313.4896617,44.3423794,6.867,0.888313407,0.42935575,apd,,TRUE
GDR1_2162955185352996096,313.0539041,44.34816855,,0.888847197,0.226960258,s,,
FHK_35,312.7215417,44.39822222,79.23302013,0.889110519,0.3906203,apd,,
PSO_J205647.351+434127.587,314.197324,43.69100544,,0.889999278,-0.262652584,b,,
GDR1_2162221639298015872,314.6126043,43.88890232,182.4307119,0.891372855,0.078678472,s,,
GDR1_2162978172018122240,313.2877317,44.50295916,,0.891483762,0.073450881,s,,
FHK_179,313.063125,44.28908333,191.1471525,0.891535976,-0.104542028,l,,
FHK_22,312.678375,44.36530556,1.025153559,0.891905468,-0.225483891,s,,
2MASS_J20470481+4349114,311.7700707,43.81983743,,0.892850084,0.065944332,s,,
FHK_210,313.1287083,44.33655556,,0.895142814,0.47661891,apd,,
FHK_253,313.2792083,44.30697222,,0.895302059,-0.717481753,b,,
GDR1_2162939208074527616,313.223935,44.24917873,8.74517201,0.895373687,0.538505568,apd,,
FHK_98,312.853,44.30516667,2.691783209,0.897031194,0.781731746,apd,,
GDR1_2163017101601143040,314.0202032,44.58231171,18.51789993,0.897166937,-0.369182826,b,,
FHK_479,314.7742917,43.95086111,,0.89857599,-0.886587072,b,,
GDR1_2162935565942174208,313.4172972,44.17929426,,0.899173593,0.583278956,apd,,
FHK_203,313.1132917,44.07752778,0.915982453,0.899913075,-0.007048545,s,,
FHK_327,313.487125,44.85883333,,0.902203069,0.177626075,s,,
GDR1_2162961541904548992,313.595932,44.32092658,,0.903032896,-0.506585099,b,,
FHK_21,312.6688333,44.34738889,1.035877909,0.903036766,-0.280924173,b,,
FHK_524,312.7025,44.28433333,0.984388422,0.903570712,0.177551092,s,,
GDR1_2163144576233088640,313.0152968,44.47723292,,0.904675674,-0.149407107,s,,
GDR1_2163138361418522624,312.9135525,44.40778697,1.036142283,0.905139425,0.57371199,apd,,
GDR1_2163138597639123456,312.8326758,44.38512183,0.980347457,0.90622513,1.015177836,apd,,
FHK_24,312.6872083,44.26516667,3.224052142,0.906434136,-0.212533141,s,,
GDR1_2162945976943020416,313.0767383,44.27513467,0.978693158,0.908014401,0.358199732,apd,,
GDR1_2163136192456870016,312.8310633,44.32514609,,0.909081879,0.562771371,apd,,
GDR1_2162930652500328832,313.076906,44.08750952,8.524816322,0.910579833,-0.095740936,s,,
GDR1_2162936665453858432,313.3807641,44.22623469,10.79061198,0.910727598,-0.185591735,s,,
GDR1_2163143717240796032,312.7537273,44.53046573,6.937,0.914376893,0.811777981,apd,,TRUE
GDR2_2162948455142499968,312.9943655,44.2490879,0.989185357,0.914681796,-0.098139615,s,,
GDR1_2162956903341232128,313.0280021,44.46539059,,0.914861897,0.802403841,apd,,
FHK_123,312.9110833,44.06138889,0.948732505,0.917009157,-0.094733588,s,,
FHK_15,312.654125,44.34716667,,0.917086358,0.446797566,l,,
GDR1_2163069500202546688,313.7666235,44.74070007,,0.9170974,0.038262195,s,,
GDR1_2162942918926094208,312.9523092,44.0887828,61.7399005,0.917540348,0.025622881,s,,
GDR1_2162948141606527616,312.8690904,44.26254283,7.033223011,0.918982856,-0.389720149,b,,
GDR1_2162932993257907584,313.3529477,44.04186114,,0.919934879,-0.598474916,b,,
GDR1_2162965699433784192,313.3976903,44.46339235,106.1693445,0.923173819,-0.053098965,s,,
2MASS_J20511262+4418454,312.8025823,44.31261411,,0.924204984,-0.208446847,s,,
