hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457927.76095,bg,V,14.231,0.02607,7.789,0.187
2458240.7433,bh,V,13.737,0.02279,11.325,0.237
2458213.7909,bg,V,13.319,0.022,18.051,0.365
2458205.78579,bh,V,13.921,0.02398,9.556,0.211
2457945.65172,bh,V,13.777,0.02301,10.911,0.231
2457833.79535,bg,V,13.29,0.02207,18.539,0.376
2458363.60571,bh,V,13.849,0.02346,10.212,0.22
2458319.6605,bg,V,14.436,0.02872,6.448,0.17
2458245.80215,bg,V,14.312,0.02703,7.232,0.18
2458197.81096,bg,V,14.23,0.02606,7.794,0.187
2458126.86145,bg,V,13.445,0.02185,16.071,0.323
2458036.4907,bh,V,14.213,0.0269,7.3,0.181
2457923.62744,bh,V,13.788,0.02307,10.806,0.229
2457846.88014,bh,V,13.473,0.02192,14.444,0.291
2457836.80881,bg,V,13.772,0.02254,11.892,0.247
2457659.52948,bh,V,14.126,0.02589,7.915,0.188
2457604.66283,bh,V,13.754,0.02288,11.148,0.235
2458165.80154,bg,V,13.397,0.02188,16.797,0.338
2457982.56297,bh,V,13.666,0.02246,12.086,0.25
2457834.73506,bg,V,13.404,0.02187,16.689,0.336
2457801.80548,bg,V,13.878,0.02308,10.78,0.229
2457652.53094,bh,V,13.774,0.02299,10.941,0.231
2457980.64337,bh,V,13.423,0.02186,15.122,0.304
2457843.73285,bh,V,13.817,0.02325,10.516,0.225
2457546.6512,bg,V,14.187,0.0256,8.115,0.191
2458022.48124,bg,V,13.928,0.0234,10.296,0.222
2457982.61222,bg,V,13.6,0.02199,13.926,0.282
2457838.67054,bg,V,13.866,0.02301,10.906,0.231
2457566.61489,bg,V,13.649,0.0221,13.312,0.271
2458336.64387,bg,V,13.46,0.02185,15.839,0.318
2458139.84385,bg,V,13.328,0.02198,17.897,0.362
2458133.87327,bg,V,13.97,0.02369,9.907,0.216
2458005.51669,bh,V,13.45,0.02189,14.744,0.297
2457939.60818,bg,V,14.386,0.02801,6.755,0.174
2457917.58803,bg,V,13.66,0.02213,13.181,0.268
2457585.6687,bg,V,14.111,0.02485,8.702,0.199
2458173.84123,bh,V,14.107,0.02568,8.051,0.19
2457923.77979,bg,V,13.857,0.02296,10.989,0.232
2457640.53524,bg,V,13.744,0.02242,12.2,0.252
2457936.56006,bg,V,13.913,0.0233,10.436,0.224
2457807.75581,bg,V,13.622,0.02203,13.654,0.277
2458347.52373,bg,V,13.441,0.02185,16.125,0.324
2457979.60659,bg,V,13.508,0.02186,15.163,0.305
2457889.73265,bh,V,14.081,0.02541,8.251,0.193
2457864.70488,bg,V,14.164,0.02536,8.285,0.193
2457812.74409,bg,V,13.781,0.02258,11.788,0.245
2457603.62801,bg,V,13.682,0.0222,12.917,0.264
2458338.68453,bh,V,13.76,0.02291,11.089,0.234
2458334.69936,bh,V,13.678,0.02251,11.957,0.248
2458233.7525,bg,V,14.449,0.02891,6.37,0.169
2457924.56791,bg,V,13.924,0.02337,10.332,0.222
2457829.8019,bh,V,14.173,0.02642,7.58,0.184
2457803.84188,bg,V,14.15,0.02522,8.396,0.195
2457794.79403,bg,V,13.974,0.02371,9.871,0.215
2458223.81761,bg,V,13.74,0.0224,12.247,0.252
2458142.85854,bh,V,13.83,0.02333,10.394,0.223
2458001.49972,bg,V,14.251,0.0263,7.649,0.185
2457935.75187,bh,V,13.946,0.02418,9.34,0.208
2457773.86749,bh,V,13.376,0.02185,15.782,0.317
2458312.62158,bg,V,13.389,0.02189,16.912,0.341
