ID,Q,M
GDR1_2162941716335179008,0.1370651195304892,0.2702931544889195
GDR1_2066773619008833664,0.005536153605922118,0.019799266299397877
GDR1_2163215391652091520,0.049569775912064636,-0.011089380243647914
GDR1_2065995748890512768,0.020183962784536717,-0.06148652874490781
GDR1_2163140315626343168,0.0989904959979083,0.26628112584407965
GDR1_2162168862740158592,0.004306183404577515,-0.1304628154351241
GDR1_2162936665453858432,0.07718125686804966,-0.0909518021122147
GDR1_2162126325384584576,0.10014990287795965,-0.0227121680192223
GDR1_2162221536218867072,0.04792477764162582,0.0393850269933367
GDR1_2162946526698717056,0.13436588779993494,0.026099688425870578
GDR1_2163136742213531520,0.04391703949845644,0.2185160419484647
GDR1_2163136364255498624,0.07778030418897987,0.325659636494967
2MASS_J20510663+4421407,0.023875920580435545,-0.028496854183791706
GDR1_2163017101601143040,0.06895421429698466,-0.10577820458330144
