Name,Best Period (days),Power,90% FAP,95% FAP,99% FAP
GDR1_2162127562335172992,3.92761311,0.366275616,0.064944586,0.069670208,0.080227289
FHK_1,267.7655062,0.115886843,0.064912395,0.069638297,0.080195947
FHK_323,2.889267757,0.737876819,0.039917647,0.042684765,0.048891962
2MASS_J20512139+4424054,286.9228688,0.094360544,0.062428685,0.066954162,0.077068357
GDR1_2162984872167881216,4.622946103,0.075845999,0.064013315,0.06866553,0.079060203
2MASS_J20584906+4353167,40.0481862,0.211525729,0.064944586,0.069670208,0.080227289
GDR1_2162949378557115136,103.7009324,0.057452915,0.048040996,0.051461936,0.059124781
GDR1_2163215391652091520,10.40588835,0.192303119,0.062705604,0.067259219,0.077435598
FHK_286,43.12128859,0.546187792,0.062428685,0.066954162,0.077068357
GDR1_2065995748890512768,5.94584075,0.409643957,0.064933885,0.069659601,0.08021687
GDR1_2162948141606527616,212.0068492,0.098025376,0.06479436,0.069504784,0.080028303
GDR1_2163144541882323584,4.104387639,0.228933848,0.062428685,0.066954162,0.077068357
GDR1_2162967795377160064,267.9836079,0.09575764,0.062428685,0.066954162,0.077068357
FHK_82,7.170990296,0.449645512,0.062428685,0.066954162,0.077068357
2MASS_J20511252+4418093,7.989484318,0.594762242,0.062428685,0.066954162,0.077068357
FHK_537,7.558142601,0.091715379,0.062428685,0.066954162,0.077068357
FHK_227,42.66809411,0.062852269,0.062957413,0.067524278,0.077730099
GDR1_2162947798009095808,400,0.181646445,0.071650692,0.076886613,0.088571605
FHK_42,286.8249956,0.112391634,0.066148401,0.070964808,0.08172274
FHK_163,191.9585731,0.174204461,0.062428685,0.066954162,0.077068357
GDR1_2162884782249510656,7.483929571,0.080131276,0.068762379,0.073789398,0.085012749
GDR1_2163140453064444544,267.9836079,0.199007154,0.062428685,0.066954162,0.077068357
GDR1_2163066029870618624,2.001752466,0.116884527,0.061208566,0.065640507,0.075547539
GDR1_2162955185352996096,267.9836079,0.086991591,0.062602425,0.067141626,0.077286205
FHK_452,364.043802,0.044164762,0.064944586,0.069670208,0.080227289
2MASS_J20534506+4425179,286.9228688,0.31281512,0.062428685,0.066954162,0.077068357
FHK_161,286.9228688,0.310960095,0.040266313,0.043059208,0.0493239
GDR1_2162902683672550912,4.475395656,0.15465187,0.039243298,0.041960237,0.048055494
FHK_508,251.3898194,0.121234038,0.039917647,0.042684765,0.048891962
GDR1_2162886775113495552,4.902236844,0.147670476,0.075613956,0.08115977,0.093528378
FHK_40,6.52552587,0.185830296,0.054798683,0.058730359,0.067528206
GDR1_2162976488391103104,267.9836079,0.115993614,0.060718233,0.065111115,0.074931641
GDR1_2163153578484316160,73.61524001,0.163683952,0.062594419,0.067133688,0.077278404
GDR1_2163135573981345280,5.530008248,0.467358201,0.065178144,0.069918345,0.08050774
GDR1_2067034237622346240,4.675838167,0.177202837,0.064727939,0.069438939,0.07996363
GDR1_2162135327636039936,201.2387467,0.294296651,0.064944586,0.069670208,0.080227289
FHK_380,286.7228304,0.403010806,0.065338424,0.070093947,0.080717183
GDR1_2162960820350057856,267.9836079,0.304597435,0.062428685,0.066954162,0.077068357
2MASS_J20522940+4438404,6.719947018,0.368938405,0.062428685,0.066954162,0.077068357
FHK_490,3.888191308,0.230421238,0.062428685,0.066954162,0.077068357
PSO_J205746.108+435819.388,19.84012585,0.044727535,0.065338094,0.070093619,0.080716861
FHK_535,3.617925282,0.17740901,0.062428685,0.066954162,0.077068357
GDR1_2162936184418271104,267.9836079,0.241214287,0.040056178,0.042833551,0.049063621
FHK_449,3.691338712,0.041363602,0.065504367,0.07027527,0.080932479
GDR1_2162091278451209472,122.2611887,0.129567542,0.069279152,0.074339352,0.085636138
GDR1_2162947591850664960,7.880920928,0.551947453,0.071650692,0.076886613,0.088571605
GDR1_2067068425564498688,22.35951183,0.057890431,0.076544128,0.082174544,0.094729411
2MASS_J20475256+4345137,5.937124102,0.466730528,0.064727939,0.069438939,0.07996363
FHK_284,8.580485411,0.587855015,0.062608427,0.067147578,0.077292054
FHK_511,11.50120765,0.381823606,0.075613956,0.08115977,0.093528378
FHK_244,6.292886669,0.386104548,0.062428685,0.066954162,0.077068357
2MASS_J20570162+4341387,2.988550677,0.227079213,0.065138991,0.069879533,0.080469622
FHK_201,9.898469231,0.173257448,0.062428685,0.066954162,0.077068357
FHK_569,3.862298383,0.677433139,0.060718233,0.065111115,0.074931641
FHK_21,267.9836079,0.091746459,0.062428685,0.066954162,0.077068357
GDR1_2163143133124910976,28.96799242,0.05790759,0.065782827,0.070568231,0.081257643
GDR1_2162975698125115392,103.7009324,0.144463949,0.060718233,0.065111115,0.074931641
2MASS_J20510663+4421407,3.514569378,0.404673963,0.062428685,0.066954162,0.077068357
FHK_489,2.448424103,0.262206176,0.062428685,0.066954162,0.077068357
GDR1_2162965012238950656,14.44018786,0.716483492,0.062428685,0.066954162,0.077068357
2MASS_J20505039+4450115,223.687903,0.534932183,0.065057533,0.069782176,0.08033726
GDR1_2162220917743579520,267.7655062,0.226018855,0.065451375,0.070222741,0.080880894
FHK_431,3.55457237,0.217992454,0.039108602,0.041815739,0.047889123
GDR1_2162974186289213312,8.880797949,0.099079055,0.062045705,0.066544303,0.076598929
GDR1_2162940445026460544,10.96814142,0.138812367,0.062611641,0.067150764,0.077295185
FHK_474,3.490396603,0.044263893,0.055127139,0.059090585,0.067958835
GDR1_2162240708953684992,191.9585731,0.1186227,0.039304475,0.042026381,0.048132714
FHK_123,10.12054652,0.09583574,0.073045195,0.07839356,0.090326644
GDR1_2163168524970607616,364.1243824,0.10746092,0.066828717,0.071691295,0.082551443
GDR1_2162221536218867072,19.00230097,0.593006495,0.064944586,0.069670208,0.080227289
GDR1_2162930652500328832,8.526423717,0.065798945,0.039917647,0.042684765,0.048891962
GDR1_2162969788241973632,267.9836079,0.149734451,0.060718233,0.065111115,0.074931641
FHK_47,3.422716169,0.122616793,0.071650692,0.076886613,0.088571605
GDR1_2162134880959435904,3.371722237,0.679748964,0.064944586,0.069670208,0.080227289
FHK_387,2.06908457,0.14552599,0.061380175,0.065825238,0.075761338
2MASS_J20512464+4417549,286.9228688,0.071763408,0.062428685,0.066954162,0.077068357
GDR1_2162938074203123712,7.269214716,0.543588841,0.075613956,0.08115977,0.093528378
GDR1_2162227205576431488,6.653865389,0.073757886,0.039108602,0.041815739,0.047889123
GDR1_2162126325384584576,5.911126829,0.277628652,0.064944586,0.069670208,0.080227289
2MASS_J20533662+4439529,3.208990796,0.341968322,0.062428685,0.066954162,0.077068357
PSO_J205647.351+434127.587,267.7655062,0.054261235,0.064944586,0.069670208,0.080227289
FHK_532,4.112703274,0.469979819,0.062428685,0.066954162,0.077068357
FHK_577,7.83529171,0.169050735,0.069792096,0.07488602,0.086257412
FHK_87,2.950154133,0.385410117,0.06770937,0.072653438,0.083693499
GDR1_2163139873247408384,5.036104167,0.483667101,0.062428685,0.066954162,0.077068357
2MASS_J20505703+4416432,3.402635692,0.088893732,0.06349579,0.068104806,0.078403926
GDR1_2162886156638197760,2.911211939,0.089503632,0.066736335,0.071599731,0.082461545
