old_name,preferred_name,ra,dec,Simbad,TMASS,GaiaDR2,NameFHK
GDR1 2162946526698717056,FHK 117,312.89043,44.17069,2MASS J20513370+4410145,2MASS J20513370+4410145,Gaia DR2 2162946526698717056,FHK 117
FHK 118,FHK 118,312.89746,44.51089,,2MASS J20513539+4430393,Gaia DR2 2163145469586300032,FHK 118
FHK 123,FHK 123,312.91108,44.06139,2MASS J20513865+4403409,2MASS J20513865+4403409,Gaia DR2 2066866051003142528,FHK 123
GDR1 2163138361418522624,FHK 124,312.91355,44.40779,2MASS J20513925+4424281,2MASS J20513925+4424281,Gaia DR2 2163138361420323840,FHK 124
GDR1 2163145984982389632,LkHA  159,312.91651,44.55395,EM* LkHA  159,2MASS J20513996+4433143,Gaia DR2 2163145989282263936,FHK 125
FHK 127,FHK 127,312.92192,43.79861,,2MASS J20514125+4347549,Gaia DR2 2066849592688171520,FHK 127
GDR1 2162949378557095680,LkHA  160,312.92257,44.25196,EM* LkHA  160,2MASS J20514141+4415071,Gaia DR2 2162949382855434496,FHK 128
GDR1 2162949378557115136,LkHA  161,312.92464,44.26893,EM* LkHA  161,2MASS J20514191+4416082,Gaia DR2 2162949382855436928,FHK 129
FHK 130,LkHA  162,312.92542,44.64908,EM* LkHA  162,2MASS J20514210+4438567,Gaia DR2 2163150937084600320,FHK 130
FHK 133,FHK 133,312.93708,44.43861,,2MASS J20514490+4426190,Gaia DR2 2163144271295324544,FHK 133
FHK 134,FHK 134,312.93817,43.81731,2MASS J20514515+4349024,2MASS J20514515+4349024,Gaia DR2 2066849730127126784,FHK 134
GDR1 2163144473153865856,FHK 135,312.94165,44.47646,2MASS J20514599+4428353,2MASS J20514599+4428353,Gaia DR2 2163144477453762176,FHK 135
FHK 137,FHK 137,312.94396,44.37258,ATO J312.9439+44.3725,2MASS J20514654+4422212,Gaia DR2 2162950413647417728,FHK 137
FHK 138,FHK 138,312.94758,44.53561,2MASS J20514742+4432082,2MASS J20514742+4432082,Gaia DR2 2163145744464215168,FHK 138
FHK 543,FHK 543,312.94912,43.71083,ATO J312.9491+43.7108,2MASS J20514778+4342390,Gaia DR2 2066845881836379776,FHK 543
GDR1 2162942918926094208,FHK 139,312.95231,44.08878,2MASS J20514855+4405196,2MASS J20514855+4405196,Gaia DR2 2162942923224076288,FHK 139
GDR1 2163138116611233408,FHK 140,312.95319,44.3947,2MASS J20514876+4423410,2MASS J20514876+4423410,Gaia DR2 2163138120902147584,FHK 140
GDR1 2162946767216898432,FHK 141,312.95359,44.18408,2MASS J20514886+4411027,2MASS J20514886+4411027,Gaia DR2 2162946771515314048,FHK 141
FHK 142,FHK 142,312.95675,44.63128,,2MASS J20514961+4437526,Gaia DR2 2163150696566425216,FHK 142
2MASS J20515226+4418213,FHK 144,312.96775,44.30592,2MASS J20515226+4418213,2MASS J20515226+4418213,Gaia DR2 2162949928312976512,FHK 144
GDR1 2162948691363126144,FHK 145,312.97042,44.26595,2MASS J20515289+4415574,2MASS J20515289+4415574,Gaia DR2 2162948695660669824,FHK 145
FHK 146,FHK 146,312.98208,44.56464,2MASS J20515568+4433526,2MASS J20515568+4433526,Gaia DR2 2163145881903176320,FHK 146
GDR1 2162941716335179008,FHK 147,312.98843,44.03779,2MASS J20515722+4402161,2MASS J20515722+4402161,Gaia DR2 2162941716335179008,FHK 147
FHK 150,FHK 150,312.99367,44.62339,,2MASS J20515848+4437241,Gaia DR2 2163147775988658816,FHK 150
GDR2 2162948455142499968,LkHA  163,312.99437,44.24909,EM* LkHA  163,2MASS J20515864+4414568,Gaia DR2 2162948455142499968,FHK 151
GDR1 2163144851111005056,FHK 152,312.99458,44.50758,2MASS J20515869+4430273,2MASS J20515869+4430273,Gaia DR2 2163144855410880640,FHK 152
FHK 153,LkHA  164,312.99662,44.42881,EM* LkHA  164,2MASS J20515921+4425439,Gaia DR2 2162956460961372928,FHK 153
FHK 155,FHK 155,312.99754,44.27286,2MASS J20515942+4416221,2MASS J20515942+4416221,Gaia DR2 2162948897520781824,FHK 155
GDR1 2162949309837722880,FHK 156,313.00072,44.33305,2MASS J20520017+4419590,2MASS J20520017+4419590,Gaia DR2 2162949314135760640,FHK 156
GDR1 2163144644952565120,LkHA  165,313.00412,44.47817,EM* LkHA  165,2MASS J20520099+4428413,Gaia DR2 2163144644952565120,FHK 157
