star Identifier,odr slope,odr slope error,intercept,intercept error,angle,angle error,pythag
FHK_348,0.7990137433821372,0.03540649142860275,16.11917355523343,0.09000376055990955,38.625335367009065,1.238918023198424,0.31235731330974265
FHK_35,1.4058556371187607,0.14762808283530993,16.40336997645754,0.30838611728222887,54.57535456048783,2.811101148992288,0.7814755204455971
FHK_361,1.1651495823427147,0.08659074093501062,17.393223842436832,0.24511583998427255,49.36186344836934,2.1084680705581507,1.5626619367972665
FHK_362,1.4057744888138868,0.08041156093010604,16.64359708257748,0.20278714346050286,54.573792511121255,1.5486114594631388,1.4072219081363468
FHK_36,7.057727146265766,0.7012622904860475,5.119395305122258,1.1133161738403177,81.9355177189593,0.7762954704608636,1.784787354363207
FHK_371,1.4865256144305234,0.16047127131444494,15.969439766358809,0.29459978588919,56.07090073994108,2.848687009155694,0.3812930595430545
FHK_372,1.955857655350274,0.40717790439544643,15.126132610171801,0.8357734752219832,62.920034981930876,4.683976393472251,0.7196580708235398
FHK_390,0.8645044456551086,0.03454131763081536,18.553524628446887,0.06579622041485678,40.8435602849005,1.1332169294033754,0.6733524718207613
FHK_405,3.58383717843211,0.32079047623758505,12.267316869182816,0.6153727882868942,74.40927381617482,1.3166635874755406,0.9947389288647855
FHK_408,3.7045899216942217,0.9247676018114335,11.104491890062786,1.232327787768848,74.89387406429667,3.4337585872579877,0.3536731147803997
FHK_409,3.110967087559038,3.679153158990029,13.38776612574982,8.456782707504615,72.18028913829772,20.71388713858229,2.250636126919103
FHK_40,2.1904329907092466,0.15113525714968357,14.955458824895768,0.26735008887829004,65.46184425776097,1.48568746656354,0.8509550228915819
FHK_418,6.888800926823773,1.9285043282057033,5.244062318224895,3.3324371360367255,81.74045795014183,2.1152820734504614,0.5050916411666787
FHK_430,1.6105248890412522,0.28788392410459374,15.841458514625627,0.4978827346708812,58.16320734191628,4.45406161983686,0.6465978900885739
FHK_431,2.3016587094732754,0.22227129185063332,14.023539744590256,0.3501977175356643,66.51653083215693,1.9931199509204403,0.29993741547750097
FHK_434,2.3428535429832253,0.12304732661006335,12.764694762727263,0.19014240571335694,66.8857602308047,1.0839565803143476,0.6270360901071048
FHK_438,1.0786987412920817,0.067825257751296,18.512566141771963,0.14123427446268444,47.16816082408032,1.795514016457204,0.9920132148948063
FHK_43,9.03651076127471,24.749793060037064,1.2750969140223036,44.82628886213193,83.68517607664144,87.50857676236234,0.6907415240994805
FHK_442,2.066973630879523,0.16140180360033163,15.870510257402698,0.2500254730905258,64.18234416151199,1.752526942372965,1.9758056838175606
FHK_444,-7.727520278748871,2.3071468481844613,35.597763406203825,4.596017790021502,-82.6264634957022,2.021472428529085,1.8908877455486466
FHK_44,1.1723697251218412,0.08071504377172611,17.23649143779351,0.18350089873819364,49.53670910788612,1.9434771423296267,1.1037277930115381
FHK_451,4.338329592581172,0.7795988374151719,8.375869804908962,1.9169414357345191,77.01983888541807,2.140377779007924,1.4426044433977545
FHK_455,1.7026270999915611,0.15058283056540211,14.91402353296456,0.3030333898207296,59.57310521092003,2.202947962099352,0.3814098031178224
FHK_456,2.1237889858752066,0.22910503430987883,14.583959375179024,0.3984225850993157,64.78629054621628,2.3627918481043126,0.6763018281125761
