,ID_1,RA,DEC,PER,Q,M,NU,rMean,primary_class,secondary_class,ra_1,dec_1,id_2,ra_2,dec_2,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,ra_3,dec_3,AllWISE,RAJ2000_3,DEJ2000_3,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,ccf,ex,var,qph,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,__70_,e__70_,RAJ2000_4,DEJ2000_4,Separation
31,FHK_133,312.9370833333333,44.4386111111111,3.7722587346534295,0.1540987535549879,0.0854529911088212,0.0104241886175103,16.875230833860762,p,l,312.9370833333333,44.4386111111111,FHK_133,312.9370833333333,44.4386111111111,13.932,13.117,12.787,0.031,0.035,0.03,AAA,222.0,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,0.0
32,FHK_134,312.93816666666663,43.81730555555556,6.242051875309273,0.6086663137556902,0.2577065063966013,0.0195257172801706,18.4704446723301,qpd,,312.93816666666663,43.81730555555556,FHK_134,312.93816666666663,43.81730555555556,13.463,11.831,10.47,0.055,0.054,0.036,AAA,222.0,312.93816666666663,43.81730555555556,J205145.16+434902.4,312.9381677,43.8173566,8.754,7.778,6.009,3.759,0.022,0.019,0.02,0.032,pp0d,5,1442,AAAA,8.74,0.05,8.06,0.05,7.56,0.05,6.87,0.05,3.75,0.04,0.0,0.2,312.9382019444444,43.81733305555555,0.0
33,FHK_137,312.94395833333334,44.37258333333333,2.175419455713308,0.2455775808342626,0.1424717279185213,0.0145454837283569,16.42148929050633,p,,312.94395833333334,44.37258333333333,FHK_137,312.94395833333334,44.37258333333333,12.62,11.723,11.351,0.024,0.03,0.021,AAA,222.0,312.94395833333334,44.37258333333333,J205146.54+442221.2,312.9439414,44.3725789,11.188,11.09,9.496,7.602,0.023,0.022,0.058,0.452,Hd00,0,n21n,AAAC,,,,,,,,,,,,,,,0.0
34,FHK_138,312.94758333333334,44.53561111111111,6.421386329003202,0.6985750578168695,0.1857033026445811,0.0266389073319194,18.38911595189873,qps,,312.94758333333334,44.53561111111111,FHK_138,312.94758333333334,44.53561111111111,14.293,13.42,12.963,0.032,0.035,0.023,AAA,222.0,312.94758333333334,44.53561111111111,J205147.42+443208.1,312.947606,44.535593,12.311,11.852,11.383,7.794,0.028,0.027,,,0h00,1,87nn,AAUU,,,,,,,,,,,,,,,0.0
35,FHK_142,312.95675,44.63127777777776,1.034829943937824,0.8528574202302243,-0.4899361785763663,0.0041957972214868,14.645893890506333,b,,312.95675,44.63127777777776,FHK_142,312.95675,44.63127777777776,11.889,11.369,11.085,0.035,0.03,0.034,AAA,222.0,312.95675,44.63127777777776,J205149.62+443753.0,312.956774,44.6314128,11.076,11.024,10.291,7.905,0.034,0.035,,,000d,0,nnnn,AAUU,,,,,,,,,,,,,,,0.0
36,FHK_146,312.9820833333334,44.5646388888889,47.628829600931866,0.8750612331854497,0.4899408664818922,0.0190802156271585,15.871081526045014,apd,,312.9820833333334,44.5646388888889,FHK_146,312.9820833333334,44.5646388888889,12.643,11.661,11.071,0.022,0.03,0.021,AAA,222.0,312.9820833333334,44.5646388888889,J205155.68+443352.6,312.9820288,44.5646385,10.402,9.946,7.558,5.363,0.026,0.022,0.06,0.097,hh00,0,0110,AAAA,10.38,0.05,9.93,0.05,9.76,0.06,8.81,0.06,5.93,0.05,,,312.9821169444444,44.56462499999999,0.0
37,FHK_15,312.654125,44.34716666666666,,0.9170863581484112,0.3440814917202933,0.0234484449780067,15.2951091471519,l,,312.654125,44.34716666666666,FHK_15,312.654125,44.34716666666666,12.091,11.034,10.56,0.029,0.03,0.023,AAA,222.0,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,0.0
38,FHK_150,312.9936666666666,44.62338888888888,1.9058203052605305,0.1198571016334133,0.1278523243646249,0.0123198905774066,17.326969899999998,p,,312.9936666666666,44.62338888888888,FHK_150,312.9936666666666,44.62338888888888,13.297,12.247,11.879,0.026,0.031,0.024,AAA,222.0,312.9936666666666,44.62338888888888,J205158.46+443724.0,312.9936126,44.6233457,11.728,11.632,10.418,8.164,0.023,0.022,,,0hHH,1,22nn,AAUU,,,,,,,,,,,,,,,0.0
39,FHK_153,312.99662499999994,44.42880555555556,4.154410343904903,0.7966730719084313,0.0217648164500609,0.0117449855050601,15.192673933544304,qps,,312.99662499999994,44.42880555555556,FHK_153,312.99662499999994,44.42880555555556,11.797,10.887,10.388,0.027,0.032,0.026,AAA,222.0,312.99662499999994,44.42880555555556,J205159.19+442543.9,312.9966586,44.4288729,9.779,9.288,7.783,5.987,0.023,0.021,0.028,0.086,0000,1,9911,AAAA,9.7,0.05,9.32,0.05,8.93,0.05,8.29,0.05,5.79,0.04,,,312.99667388888884,44.42884111111111,0.0
40,FHK_155,312.9975416666666,44.27286111111111,,0.9446047241865514,-0.2081703648957165,0.0083494597378896,14.666361271296294,s,,312.9975416666666,44.27286111111111,FHK_155,312.9975416666666,44.27286111111111,11.789,10.858,10.346,0.023,0.027,0.021,AAA,222.0,312.9975416666666,44.27286111111111,J205159.40+441622.2,312.9975287,44.2728408,9.736,9.392,7.432,5.007,0.023,0.02,0.031,0.032,00dh,0,1331,AAAA,9.74,0.05,9.5,0.05,9.3,0.05,8.59,0.05,4.73,0.04,,,312.9974980555555,44.27283499999999,0.0
41,FHK_158,313.00466666666665,44.54416666666668,1.261905941062194,0.7394578198355893,-0.0818607750648907,0.0062942173076196,15.927255687619049,qps,,313.00466666666665,44.54416666666668,FHK_158,313.00466666666665,44.54416666666668,12.837,11.988,11.748,0.025,0.036,0.026,AAA,222.0,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,0.0
42,FHK_163,313.0193333333333,44.625111111111096,54.685958644936456,0.8038272770499597,0.730044314492756,0.0263447063876699,14.156162515555556,qpd,,313.0193333333333,44.625111111111096,FHK_163,313.0193333333333,44.625111111111096,10.234,9.059,8.12,0.019,0.027,0.021,AAA,221.0,313.0193333333333,44.625111111111096,J205204.63+443730.3,313.0193005,44.6251095,6.482,5.646,3.329,1.84,0.07,0.047,0.012,0.022,0h00,1,0241,AAAA,,,,,,,,,,,,,,,0.0
43,FHK_164,313.02204166666667,44.29147222222223,0.9100281678783224,0.7424111892945936,0.4692637481861083,0.0246674863426654,17.454611510759488,qpd,,313.02204166666667,44.29147222222223,FHK_164,313.02204166666667,44.29147222222223,13.739,12.558,12.007,0.032,0.038,0.028,AAA,222.0,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,0.0
44,FHK_165,313.0252083333333,44.28777777777778,,0.9428606698785552,-0.0964424828345711,0.0073760698170036,12.924269782901554,s,,313.0252083333333,44.28777777777778,FHK_165,313.0252083333333,44.28777777777778,10.265,9.229,8.338,0.023,0.027,0.021,AAA,222.0,313.0252083333333,44.28777777777778,J205206.04+441716.0,313.0251863,44.2877851,6.904,6.221,3.733,1.726,0.059,0.03,0.015,0.018,0h00,0,0111,AAAA,6.75,0.05,6.32,0.05,5.88,0.05,4.75,0.05,1.75,0.04,0.61,0.14,313.0252380555555,44.287818888888886,0.0
45,FHK_172,313.04820833333326,44.29855555555557,3.535720408626076,0.3501411970364657,0.3324795008307438,0.0149120500256585,16.146627497468355,p,,313.04820833333326,44.29855555555557,FHK_172,313.04820833333326,44.29855555555557,12.902,11.962,11.709,0.026,0.028,0.025,AAA,222.0,313.04820833333326,44.29855555555557,J205211.57+441754.4,313.0482368,44.2984702,11.506,11.464,10.165,8.033,0.024,0.021,0.145,0.35,0hdH,1,111n,AABB,,,,,,,,,,,,,,,0.0
46,FHK_179,313.063125,44.28908333333332,191.14715251466205,0.8915359762474309,-0.071838957023918,0.0239118186392349,18.67728777010582,l,,313.063125,44.28908333333332,FHK_179,313.063125,44.28908333333332,13.807,12.855,12.2,0.032,0.036,0.03,AAA,222.0,313.063125,44.28908333333332,J205215.14+441721.4,313.0630918,44.2892863,10.989,9.978,7.6,5.077,0.023,0.02,0.035,0.047,00hh,0,1110,AAAA,10.71,0.06,9.99,0.05,9.41,0.05,8.68,0.06,5.21,0.04,,,313.06304888888883,44.28938305555555,0.0
