star Identifier,odr slope,odr slope error
GDR1_2162922337443238528,0.497955482,0.040286987
GDR1_2162924673904534272,3.608772866,0.244509176
GDR1_2162928934512434432,1.054823023,0.030131854
GDR1_2162930652500328832,1.287339108,0.045449781
GDR1_2162931580213813632,0.943803855,0.020301788
GDR1_2162931786370808448,5.974434479,0.277088278
GDR1_2162932851524210816,4.778920504,0.469639617
GDR1_2162932993257907584,0.328276934,0.046739366
GDR1_2162933882314931968,1.3603207,0.065108291
GDR1_2162935565942174208,2.716846629,0.154465637
GDR1_2162935737741690752,0.713907439,0.076257879
GDR1_2162936184418271104,1.053754209,0.024982908
GDR1_2162936596735173888,0.854276289,0.041484943
GDR1_2162936665453858432,1.643456451,0.057421636
GDR1_2162938074203123712,1.792552495,0.140603361
GDR1_2162938864478448896,1.059508136,0.183900816
GDR1_2162939173714801152,2.146226748,0.146996825
GDR1_2162939208074518912,5.904643775,0.686893423
GDR1_2162939208074527616,5.241151726,0.419478652
GDR1_2162939276794011904,0.977900546,0.04053707
GDR1_2162939792190072448,1.501826465,0.079243284
GDR1_2162940067068027264,2.644178965,0.512742145
GDR1_2162940067068027392,1.219014297,0.062485922
GDR1_2162940445026460544,1.033654071,0.104108539
GDR1_2162941716335179008,3.839851682,0.59269835
GDR1_2162942128652084096,1.253053672,0.057248392
GDR1_2162942918926094208,1.265096156,0.047775915
GDR1_2162944911791083136,3.022677546,0.260028757
GDR1_2162944946150831232,1.158301882,0.097661001
GDR1_2162945976943020416,3.080463098,0.211320983
GDR1_2162946080022052992,5.420561149,0.657065296
GDR1_2162946526698717056,2.793003623,0.236728407
GDR1_2162946767216898432,1.296795022,0.06249356
GDR1_2162947420052773760,5.556630291,0.941398406
GDR1_2162947591850664960,5.581858991,0.635896211
GDR1_2162947729289614848,1.79049886,0.182897305
GDR1_2162947729290416128,0.996533365,0.1008168
GDR1_2162947798009095808,1.275523519,0.089691782
GDR1_2162948107246789120,1.699380735,0.100232899
GDR1_2162948141606527616,1.612845353,0.065388302
GDR1_2162948691363126144,3.091480153,0.250823913
GDR1_2162949309837722880,1.217247935,0.071536175
GDR1_2162949378557095680,3.186598448,0.108382983
GDR1_2162949378557115136,2.09498499,0.12199384
GDR1_2162951027824541312,1.073965948,0.045571247
GDR1_2162951474501233536,1.170156886,0.042424134
GDR1_2162951474504020224,5.570527848,0.772768527
GDR1_2162951749379088640,2.381765236,0.152203443
GDR1_2162952470933666688,1.473731838,0.125112897
GDR1_2162952470933669632,2.946580706,0.189441281
GDR1_2162952711451794176,1.277977515,0.068730824
GDR1_2162952745812291712,1.557964184,0.150067338
GDR1_2162955185352996096,6.329723626,1.083272888
GDR1_2162955258367740800,1.487380325,0.738620716
GDR1_2162955705044326016,1.145413064,0.069117633
GDR1_2162955803828352896,1.588906933,0.100385237
GDR1_2162955803828359040,2.006164927,0.16218827
GDR1_2162956903341232128,3.545836336,0.295268538
GDR1_2162957040779711616,2.46919281,0.304789287
GDR1_2162958415178355072,1.190281605,0.115438342
GDR1_2162958488183262208,-11.55749423,18.94449922
GDR1_2162960751631826560,0,58283.42927
GDR1_2162960820350057856,3.0560875,0.428678217
GDR1_2162961267026674432,1.693612001,0.111720103
GDR1_2162961541904548992,0.793220775,0.057203089
GDR1_2162962748790296320,0.866173583,0.320392085
GDR1_2162962985013647616,1.986571415,0.208831079
GDR1_2162963912729356032,4.316569277,1.399999124
GDR1_2162964187605719552,8.704065465,16.70347085
GDR1_2162964874800490496,-0.842886027,0.4196856
GDR1_2162964977879706112,1.309775945,0.139684593
GDR1_2162965012238950656,1.551270561,0.103894207
GDR1_2162965287117378944,2.813666369,0.251191111
GDR1_2162965390195367296,1.49912357,0.168901927
GDR1_2162965699433784192,4.477384269,0.433893122
GDR1_2162965772447499648,1.154732998,0.089741607
GDR1_2162966146109606528,0.979953782,0.050613282
GDR1_2162966798944719488,0.856885933,0.076719616
GDR1_2162966798944728320,1.027668564,0.094285098
GDR1_2162967692305623296,1.499766145,0.197959506
GDR1_2162967795377160064,1.134604934,0.064687763
GDR1_2162967864096636288,1.10201028,0.066712879
GDR1_2162968791809534848,0.633641142,0.039573561
GDR1_2162969788241971712,1.183208802,0.060752251
GDR1_2162969788241973632,0.915095917,0.070291898
GDR1_2162969929975644032,71.98118823,608.6760452
GDR1_2162974186289213312,0.993455166,0.181909535
GDR1_2162975217080719104,1.038847132,0.04910646
GDR1_2162975698125115392,1.766594356,0.095406324
GDR1_2162976419671618816,2.905241988,0.334396791
GDR1_2162976488391103104,1.127491151,0.081892453
GDR1_2162976935068180608,-0.149963761,0.241728327
GDR1_2162977523478063872,1.028553903,0.057760609
GDR1_2162978172018122240,1.913559684,0.103179579
GDR1_2162983772656231424,1.007920626,0.077830835
GDR1_2162984562930222208,1.578641551,0.667914678
GDR1_2162984631649047936,0.975400872,0.050756425
GDR1_2162984872167881216,1.187274275,0.102179649
GDR1_2162988101982678912,2.906954941,0.115501173
GDR1_2162988754817727232,6.285658636,0.428560882
GDR1_2162989201494332800,1.088455488,0.106665246
GDR1_2162989510731974016,5.26573303,0.448842559
GDR1_2163017101601143040,1.743943777,0.111543809
GDR1_2163020881172468608,2.419439681,0.205272985
GDR1_2163066029870618624,0.886904597,0.042585698
GDR1_2163069500202546688,2.875489394,0.315581318
GDR1_2163135367823138944,5.144787514,0.628520483
GDR1_2163135470902128000,1.014803307,0.120871666
GDR1_2163135573981345152,6.741350496,1.520445204
GDR1_2163135573981345280,1.945331034,0.207408569
GDR1_2163135677060562176,4.364081301,0.313738581
GDR1_2163136123738466688,0.866385713,0.060832366
GDR1_2163136192456870016,8.452159659,2.754398947
GDR1_2163136364255498624,3.046210166,0.471254293
GDR1_2163136712151471360,1.345613518,0.283247695
GDR1_2163136742213531520,1.256200554,0.076740766
GDR1_2163136746511218176,2.718058953,0.280008223
GDR1_2163136810933010048,1.859651086,0.145460184
GDR1_2163137360688842752,1.541369223,0.084302782
GDR1_2163137738645105280,3.607344846,0.556012426
GDR1_2163138116611233408,1.811088063,0.086190549
GDR1_2163138288400926464,1.866393389,0.077772808
GDR1_2163138361418522624,4.245921966,0.273540631
GDR1_2163138597639123456,5.874699332,0.723417852
GDR1_2163138601937119360,1.61383391,0.17501715
GDR1_2163139151692568576,9.354598474,1.873571117
GDR1_2163139731509868160,1.007413974,0.043173237
GDR1_2163139804527939968,2.753334779,0.280505821
GDR1_2163139873247408384,1.245988991,0.099516631
GDR1_2163139937669407872,2.315973494,0.238123501
GDR1_2163140246906862080,11.39053829,3.558626249
GDR1_2163140281266601728,1.634491351,0.08915519
GDR1_2163140315626343168,5.300692749,0.38687896
GDR1_2163140315626344064,3.646344274,0.288291606
GDR1_2163140315626346880,2.266555111,0.098619656
GDR1_2163140453064444544,2.643919685,0.277726797
GDR1_2163140968460295680,1.994557825,0.203760753
GDR1_2163141208978477312,1.043694715,0.038926384
GDR1_2163141793095097344,0.979694366,0.067965995
GDR1_2163141930532987008,0.975102131,0.042154694
GDR1_2163142828184692096,0.998849667,0.071436741
GDR1_2163143133124910976,1.101658253,0.154535147
GDR1_2163143481019730688,4.269937346,0.642133958
GDR1_2163143717240796032,8.312517825,0.76076636
GDR1_2163144473153865856,2.066717056,0.223634216
GDR1_2163144541882323584,1.573800675,0.118617673
GDR1_2163144576233088640,1.206011105,0.072629124
GDR1_2163144644952565120,2.091518811,0.124596348
GDR1_2163144851111005056,2.189155509,0.197375799
GDR1_2163145984982389632,5.703598235,0.386669111
GDR1_2163146569098464384,1.963577364,0.352374944
GDR1_2163148390164061056,0.998117823,0.051737043
GDR1_2163148596322501760,0.834470172,0.070450447
GDR1_2163148768121199360,1.951019723,0.142744019
GDR1_2163149214797802752,9.218113382,1.419185942
GDR1_2163149317877028224,1.696335891,0.155731009
GDR1_2163149661474923520,4.492867233,0.656716229
GDR1_2163153578484316160,7.015725165,1.895262648
GDR1_2163155055959979392,4.662113152,0.403854245
GDR1_2163155227752761088,1.074778047,0.066069275
GDR1_2163156052385630336,3.750616346,0.367645303
GDR1_2163162065339769856,1.041230429,0.064498837
GDR1_2163168524970607616,1.117162064,0.078429037
GDR1_2163169761929937280,3.024858519,0.469376851
GDR1_2163173197895753856,2.60603694,0.956517359
GDR1_2163215391652091520,1.219175272,0.078320151
GDR2_2067027228235955584,1.306015741,0.097924768
GDR2_2067128864343322496,0.973460309,0.042124012
GDR2_2162926254452857472,1.764108896,0.136081873
GDR2_2162943193804036864,9.281161307,3.344099993
GDR2_2162948455142499968,2.016161383,0.080912909
GDR2_2162951684957670144,1.806248544,0.127040456
GDR2_2163136059317926016,3.058966658,0.214002887
GDR2_2163137120170654720,2.597852254,0.189202979
GDR2_2163139804529410944,2.363364848,0.221595162
GDR2_2163140143827638272,0.966216943,0.074826093
PSO_J205601.466+433543.777,0.989385127,0.032178836
PSO_J205641.026+434300.610,0.832074043,0.043395226
PSO_J205647.351+434127.587,0.887622373,0.065509764
PSO_J205702.685+434143.663,0.776806957,0.138219927
PSO_J205746.108+435819.388,0.747458179,0.046376366
PSO_J205818.503+435346.014,1.936817473,0.167418239
