ID,RA,DEC,NU,rMean,PER,Q,M,primary_class,secondary_class,per_changed,star Identifier,odr slope,odr slope error,intercept,intercept error,angle,angle error,pythag
FHK_115,312.88908333333325,44.443583333333336,0.0132791571645209,14.999444261269838,6.292011061,0.709387059,0.103432501,qps,,,FHK_115,2.9412409231808114,0.3620357847458999,11.385310997338513,0.6762191954454817,71.22234894591433,2.131866206645377,0.5248745782688579
FHK_118,312.8974583333333,44.51088888888889,0.0103097774928305,18.105954954746835,4.416535527,0.113656855,0.17105148,p,,,FHK_118,1.19366581579208,0.0994179310879567,17.7017360493714,0.207035164551268,50.04522591236345,2.345787749915914,0.8438104458878642
FHK_123,312.9110833333333,44.0613888888889,0.031899543097807,16.960586586037735,0.948732505,0.917009157,-0.094733588,s,,,FHK_123,1.9894049497146389,0.1172151334038198,15.036707304609129,0.2309020767555942,63.313021858172526,1.3493192045032636,1.3331692405981557
FHK_127,312.9219166666666,43.79861111111112,0.010031587374708,15.689936412432427,1.356962746,0.439521109,0.077011043,qps,mp,,FHK_127,1.5781159673861105,0.2391494344576885,14.556195001074444,0.4672246499568313,57.6389131738334,3.781515356247701,0.5755131852726523
FHK_130,312.92541666666665,44.64908333333333,0.0070598206451841,15.44070238892405,8.214345952,0.584323499,-0.079902989,qps,l,,FHK_130,1.094336777828936,0.1044973573993433,15.239570455134327,0.2216984198516565,47.57907331737463,2.7144365308445595,0.2676540436701741
FHK_133,312.9370833333333,44.4386111111111,0.0104241886175103,16.875230833860762,3.772258735,0.154098754,0.034869356,p,l,,FHK_133,1.9890075383515384,0.3357273702532601,15.152452358708866,0.5877954163048722,63.30842803715168,3.783831552756997,0.5556513390350539
FHK_134,312.93816666666663,43.81730555555556,0.0195257172801706,18.4704446723301,6.242051875,0.608666314,0.25513472,qpd,,,FHK_134,1.1816056711718748,0.0886766638399263,18.052017573136748,0.1996660831712127,49.7585604909529,2.1106812039266747,1.018761556655726
FHK_137,312.94395833333334,44.37258333333333,0.0145454837283569,16.42148929050633,2.175419456,0.245577581,0.108992362,p,,,FHK_137,1.518164931760105,0.2412507010635476,15.303058309106758,0.5142200987960353,56.62750408031312,4.094818997302791,0.7073336049866564
FHK_138,312.94758333333334,44.53561111111111,0.0266389073319194,18.38911595189873,6.421386329,0.698575058,0.400023807,qpd,,,FHK_138,1.5207715163724709,0.2155321647628298,17.283783895855578,0.4491832810837568,56.6726410377283,3.6835259461408767,1.2638805127154216
FHK_142,312.95675,44.63127777777776,0.0041957972214868,14.645893890506333,,0.85285742,-0.727325805,b,,,FHK_142,0.9575547377699396,0.0631525786971718,14.71306390582352,0.1023736562043664,43.75786182513459,1.8819716982783488,0.2117223091594542
